Genre,Movie Name,Duration,Duration Minutes,Rating,Votes
Comedy,Layla,1h 40m,100,6.1,378
Comedy,A Dog's Will 2,1h 44m,104,6.2,2900
Comedy,404 Run Run,1h 44m,104,5.8,219
Comedy,Vicky Vidya Ka Woh Wala Video,2h 32m,152,5.2,11000
Comedy,Hisaab Barabar,1h 52m,112,5.8,1700
Comedy,U Are the Universe,1h 30m,90,7.7,259
Comedy,Haikyu!! The Dumpster Battle,1h 25m,85,7.7,6100
Comedy,Family Therapy,2h 2m,122,6.2,157
Comedy,Sew Torn,1h 40m,100,6.5,196
Comedy,Young Werther,1h 41m,101,5.6,214
Comedy,The Groomsmen: First Look,1h 22m,82,6.1,384
Comedy,Troubleshooters,1h 50m,110,6.7,409
Comedy,Another Cabin in the Woods Movie,1h 17m,77,4.7,201
Comedy,The Solitary Gourmet,1h 50m,110,7.4,117
Comedy,4PM,1h 51m,111,6.0,79
Comedy,Meet the Barbarians,1h 41m,101,6.5,445
Comedy,El Harifa 2: El Remontada,2h 10m,130,6.5,337
Comedy,Dog on Trial,1h 23m,83,6.1,631
Comedy,You Are the Apple of My Eye,1h 41m,101,7.6,3400
Comedy,Inheritance,1h 34m,94,5.1,3500
Comedy,The Last Frenzy,1h 47m,107,5.3,216
Comedy,Griffin in Summer,1h 30m,90,7.2,158
Comedy,The Grinch That Stole Bitches,1h 14m,74,6.7,65
Comedy,London Calling,1h 49m,109,7.8,20
Comedy,And the Breadwinner Is...,2h 3m,123,6.8,250
Comedy,Candidatul perfect,1h 40m,100,6.1,900
Comedy,Mother Father Sister Brother Frank,1h 25m,85,5.8,236
Comedy,Do Aur Do Pyaar,2h 20m,140,6.4,12000
Comedy,Alter weißer Mann,1h 54m,114,6.2,702
Comedy,Krazy House,1h 29m,89,4.8,1400
Comedy,Still Fabulous,1h 32m,92,4.9,855
Comedy,Crackcoon,1h 28m,88,3.6,413
Comedy,Slay,1h 39m,99,6.5,1100
Comedy,No Time to Spy: A Loud House Movie,1h 21m,81,6.4,444
Comedy,Døde menn går på ski,1h 29m,89,5.4,224
Comedy,Audrey,1h 37m,97,5.7,293
Comedy,Murder at Hollow Creek,1h 37m,N/A,4.1,82
Comedy,O Melhor Amigo,1h 36m,96,7.1,59
Comedy,Christmas Eve in Miller's Point,1h 46m,106,5.6,2300
Comedy,Almost Popular,1h 46m,N/A,8.4,14
Comedy,Juliette au printemps,1h 35m,95,6.4,247
Comedy,Perfect Endings,1h 40m,100,5.6,191
Comedy,Crossroads,1h 22m,82,7.7,6
Comedy,Arzé,1h 30m,90,7.0,206
Comedy,Casatoria,1h 36m,96,6.4,2800
Comedy,I Am Kathalan,1h 55m,115,6.7,1100
Comedy,Auction,1h 31m,91,6.5,911
Comedy,How to Make a Killing,1h 49m,109,6.6,706
Comedy,Ajosepo,2h 14m,134,8.7,54
Comedy,Mr. Manhattan,1h 50m,110,6.7,440
Comedy,A.R.M,2h 30m,150,7.1,8600
Comedy,The Deb,2h 1m,121,7.5,71
Comedy,Chantal in Fairyland,1h 58m,118,4.6,2600
Comedy,The Southern Chronicles,2h,120,8.8,2500
Comedy,Man and Witch: The Dance of a Thousand Steps,1h 34m,94,5.5,328
Comedy,U.S. Palmese,2h,120,6.9,102
Comedy,Lesbian Space Princess,1h 27m,87,7.5,110
Comedy,Monster on a Plane,1h 28m,88,5.5,2300
Comedy,Her Story,2h 3m,123,7.6,1800
