Genre,Movie Name,Duration,Duration Minutes,Rating,Votes
Crime,Phir Aayi Hasseen Dillruba,2h 12m,132,5.8,6800
Crime,The Plot,1h 40m,100,4.8,375
Crime,A Bronx Tale: The Original One Man Show,1h 40m,N/A,8.2,15
Crime,Hunt the Wicked,1h 42m,102,5.3,109
Crime,Bermondsey Tales: Fall of the Roman Empire,1h 39m,99,4.4,180
Crime,The Pee Pee Poo Poo Man,1h 19m,79,8.1,18
Crime,Lady Scorpions,1h 41m,101,3.6,366
Crime,Octopus with Broken Arms,1h 49m,109,6.1,214
Crime,Kondal,2h 27m,147,5.4,766
Crime,The Smile Man,2h 2m,122,7.6,1500
Crime,Dirty Ice Cream,47m,47,4.4,116
Crime,The Actor,2h 8m,128,3.3,725
Crime,The Waterboyz,1h 29m,89,7.8,85
Crime,Jersey Bred,1h 32m,92,4.4,71
Crime,They Called Him Mostly Harmless,1h 29m,89,5.9,3200
Crime,The Final: Attack on Wembley,1h 22m,82,6.3,2500
Crime,She's Got No Name,2h 30m,150,7.1,47
Crime,Operation Raavan,2h 27m,147,8.0,1200
Crime,10 Days of a Curious Man,1h 50m,110,5.7,1200
Crime,Scorched Earth,1h 41m,101,6.7,530
Crime,A Brothers Bond,1h 43m,103,5.4,38
Crime,Crisis Negotiators,2h,120,6.7,706
Crime,Nefarious,1h 25m,85,7.1,56
Crime,Borderless Fog,1h 50m,110,5.2,1300
Crime,(Pri)sons,1h 40m,100,5.1,267
Crime,Ma Este Gyilkolunk,1h 40m,N/A,5.1,569
Crime,La Familia,1h 40m,N/A,6.8,42
Crime,Sheriff,2h 13m,133,6.9,1100
Crime,Cookster: The Darkest Days,1h 59m,119,8.2,40
Crime,Team of Two,1h 59m,N/A,5.0,108
Crime,Visfot,2h 10m,130,5.7,1100
Crime,The Seven Sorrows of Mary,1h 38m,98,6.6,31
Crime,Young Lion of the West,1h 33m,93,5.2,108
Crime,Nunakuzhi,2h 5m,125,6.8,3000
Crime,Io e te dobbiamo parlare,1h 35m,95,4.2,187
Crime,Abraham Ozler,2h 23m,143,6.5,4200
Crime,Gumasthan,2h 25m,145,5.8,500
Crime,Red,1h 54m,114,4.6,96
Crime,Kahar: Kapla High Council,1h 42m,102,6.9,449
Crime,Murder and Cocktails,1h 28m,88,4.0,360
Crime,Nahir,2h 2m,122,4.7,1100
Crime,Dandupalayam,2h 17m,137,5.9,1300
Crime,The Truth vs. Alex Jones,2h 1m,121,7.5,3000
Crime,Krista,58m,58,5.6,46
Crime,What Happens in Miami,1h 30m,90,4.3,219
Crime,They Turned Us Into Killers,1h 26m,86,2.8,252
Crime,A Gangster's Kiss,1h 21m,81,4.9,45
Crime,Unspoken,2h,120,8.2,46
Crime,Kurukku,1h 49m,109,6.6,530
Crime,ChiefsAholic: A Wolf in Chiefs Clothing,2h 1m,121,6.2,372
Crime,9 Windows,1h 22m,82,3.6,307
Crime,Plastic Guns,1h 35m,95,6.3,607
Crime,Miséria,1h 39m,99,5.3,100
Crime,"MoviePass, MovieCrash",1h 36m,96,6.7,2800
Crime,Take Good Care,1h 41m,101,N/A,N/A
Crime,Sattam En Kaiyil,2h 4m,124,8.0,2200
Crime,Diddy: Summit to Plummet,1h,60,2.2,200
Crime,Dutch II: Angel's Revenge,1h,N/A,6.7,86
Crime,Little Jaffna,1h 40m,100,6.9,40
Crime,Saindhav,2h 18m,138,5.0,1600
Crime,Vina: Before 7 Days,1h 40m,100,5.4,581
Crime,Svemu dodje kraj,1h 29m,89,6.7,263
Crime,Sayara,1h 38m,98,5.7,270
Crime,Love You to Debt,2h 15m,135,6.2,754
Crime,Chapter 51,2h 15m,N/A,N/A,N/A
Crime,Satyabhama,2h 12m,132,5.9,1500
Crime,Mathu Vadalara 2,2h 19m,139,7.0,1600
Crime,Conquer: Lahad Datu,2h,120,6.7,504
Crime,Wannabe,1h 42m,102,4.6,126
Crime,Zebra,2h 44m,164,8.0,3200
Crime,Killer Babes,1h 34m,94,3.5,283
Crime,Le Mohican,1h 27m,87,7.0,146
Crime,Dirty Money,1h 40m,100,5.6,113
Crime,Bars,2h 15m,135,5.8,23
Crime,The Infallibles,1h 39m,99,4.8,751
Crime,Dead Man,1h 49m,109,5.1,206
Crime,Ballistic,1h 35m,95,2.3,161
Crime,High Forces,1h 59m,119,5.7,521
Crime,RTI,2h 10m,130,5.9,26
Crime,The Experts,2h 1m,121,6.2,264
Crime,The Bitter Sugar,2h 1m,N/A,6.8,9
Crime,Accident or Conspiracy: Godhra,2h 13m,133,7.4,780
Crime,The Best of Me,1h 29m,89,N/A,N/A
Crime,Siren,2h 34m,154,6.4,2900
Crime,Metamorfosi dell'essere,1h 45m,105,8.0,70
Crime,Priyo Maloti,1h 59m,119,6.7,176
Crime,Ghost Killer,1h 45m,105,7.1,63
Crime,Jamalinte Punjiri,1h 45m,N/A,9.2,162
Crime,Cubic Zirconia,1h 45m,N/A,7.1,65
Crime,The Epidemic,1h 35m,95,5.8,69
Crime,Andhagan,2h 22m,142,6.7,1200
Crime,Silver Star,1h 42m,102,6.9,15
Crime,Texas Twister,1h 28m,88,2.5,157
Crime,Perfect Blue,1h 28m,N/A,7.5,6
Crime,Uno,1h 28m,N/A,8.6,31
Crime,Mr. Bachchan,2h 30m,150,3.6,5300
Crime,Lóve 2,2h 30m,N/A,4.9,68
