Genre,Movie Name,Duration,Duration Minutes,Rating,Votes,genre
Action,Kill Em All 2,1h 28m,88.0,4.1,1300.0,Scripts\action_movies
Action,Dan Da Dan: First Encounter,1h 23m,83.0,8.2,2700.0,Scripts\action_movies
Action,Article 370,2h 38m,158.0,7.8,25000.0,Scripts\action_movies
Action,Darkness of Man,1h 49m,109.0,4.8,3100.0,Scripts\action_movies
Action,200% Wolf,1h 38m,98.0,5.9,1300.0,Scripts\action_movies
Action,Latency,1h 34m,94.0,4.2,2400.0,Scripts\action_movies
Action,Elyas,1h 45m,105.0,6.1,1300.0,Scripts\action_movies
Action,Operation Blood Hunt,1h 33m,93.0,3.4,477.0,Scripts\action_movies
Action,The Tiger's Apprentice,1h 24m,84.0,5.7,2200.0,Scripts\action_movies
Action,Life After Fighting,2h 6m,126.0,6.4,2000.0,Scripts\action_movies
Action,Simarik,1h 51m,111.0,6.4,2500.0,Scripts\action_movies
Action,Die Hart 2: Die Harter,1h 32m,92.0,4.3,5500.0,Scripts\action_movies
Action,Raqa,1h 47m,107.0,5.7,174.0,Scripts\action_movies
Action,Murder Company,1h 26m,86.0,3.7,1500.0,Scripts\action_movies
Action,Lights Out,1h 30m,90.0,4.9,1800.0,Scripts\action_movies
Action,Justice League: Crisis on Infinite Earths - Part Two,1h 34m,94.0,5.5,5300.0,Scripts\action_movies
Action,Black Creek,1h 56m,116.0,8.6,7.0,Scripts\action_movies
Action,City Hunter,1h 42m,102.0,6.3,5600.0,Scripts\action_movies
Action,Snow White and the Seven Samurai,1h 28m,88.0,3.2,285.0,Scripts\action_movies
Action,Hijack 1971,1h 40m,100.0,6.8,3300.0,Scripts\action_movies
Action,Revolver,1h 54m,114.0,5.4,842.0,Scripts\action_movies
Action,One Fast Move,1h 48m,108.0,5.0,2200.0,Scripts\action_movies
Action,Sixty Minutes,1h 28m,88.0,5.7,5200.0,Scripts\action_movies
Action,Khadaan,2h 17m,137.0,7.2,2100.0,Scripts\action_movies
Action,Outlaw,1h 22m,82.0,5.2,922.0,Scripts\action_movies
Action,Golden Kamuy,2h 7m,127.0,6.3,2500.0,Scripts\action_movies
Action,Agent Recon,1h 25m,85.0,2.4,668.0,Scripts\action_movies
Action,Freedom,1h 50m,110.0,5.9,1400.0,Scripts\action_movies
Action,Agni,2h 2m,122.0,7.3,15000.0,Scripts\action_movies
Action,Alien Country,1h 36m,96.0,4.4,361.0,Scripts\action_movies
Action,Utopia,1h 31m,91.0,3.6,357.0,Scripts\action_movies
Action,Angels Fallen: Warriors of Peace,1h 43m,103.0,4.9,5800.0,Scripts\action_movies
Action,How to Rob a Bank,1h 28m,88.0,6.6,4200.0,Scripts\action_movies
Action,Arena Wars,1h 36m,96.0,4.9,2000.0,Scripts\action_movies
Action,The Twisters,1h 26m,86.0,2.6,325.0,Scripts\action_movies
Action,The Last Kumite,1h 45m,105.0,4.6,2300.0,Scripts\action_movies
Action,Wynonna Earp: Vengeance,1h 36m,96.0,5.5,1500.0,Scripts\action_movies
Action,Jacob Tyler,2h 13m,133.0,4.3,55.0,Scripts\action_movies
Action,Hellhound,1h 43m,103.0,4.3,502.0,Scripts\action_movies
Action,Handsome Guys,1h 41m,101.0,6.5,801.0,Scripts\action_movies
Action,Zero,1h 28m,88.0,6.1,41.0,Scripts\action_movies
Action,Fight Another Day,1h 37m,97.0,4.9,345.0,Scripts\action_movies
Action,Wanted Man,1h 25m,85.0,4.8,2600.0,Scripts\action_movies
Action,Paradox Effect,1h 27m,87.0,6.0,8600.0,Scripts\action_movies
Action,Heart of the Hunter,1h 45m,105.0,4.7,2100.0,Scripts\action_movies
Action,Continental Split,1h 28m,88.0,3.5,544.0,Scripts\action_movies
Action,Tales Beyond the Galaxy,1h 16m,76.0,4.8,171.0,Scripts\action_movies
Action,Vettaiyan,2h 43m,163.0,7.0,39000.0,Scripts\action_movies
Action,Nice Girls,1h 32m,92.0,4.2,1200.0,Scripts\action_movies
Action,72 Hours,1h 27m,87.0,4.1,285.0,Scripts\action_movies
Action,Striking Rescue,1h 46m,106.0,5.6,382.0,Scripts\action_movies
Action,Saripodhaa Sanivaaram,2h 46m,166.0,7.0,9000.0,Scripts\action_movies
Action,Sorgavaasal,2h 18m,138.0,6.6,1300.0,Scripts\action_movies
Action,Alien: Rubicon,1h 26m,86.0,2.4,336.0,Scripts\action_movies
Action,Agents,1h 22m,82.0,3.4,924.0,Scripts\action_movies
Action,Troubleshooters,1h 50m,110.0,6.7,409.0,Scripts\action_movies
Action,Bade Miyan Chote Miyan,2h 43m,163.0,3.7,39000.0,Scripts\action_movies
